Reference,Qty,Value,Description,MPN,DigikeyPN
D1,1,LED,Light emitting diode,LTST-C171KRKT,160-1427-1-ND
"R1,R2,R3,R4,R6",5,1k,Resistor,RC0603FR-071KL,311-1.00KHRCT-ND
"R5,R7",2,2.2M,Resistor,RC0603FR-072ML,311-2.00MHRCT-ND
R9,1,49.9k,Resistor,RC0603FR-0749K9L,311-49.9KHRCT-ND
R8,1,499k,Resistor,RC0603FR-07499KL,311-499KHRCT-ND
"C1,C4",2,0.1uF,Unpolarized capacitor,CC0603JRX7R9BB104,311-1779-1-ND
"C2,C3",2,1uF,Unpolarized capacitor,C0603C105K3RACTU,399-7376-1-ND
U2,1,MCP6022T-I/ST,Dual Rail-to-Rail Opamp,MCP6022T-I/ST,MCP6022T-I/STCT-ND
U1,1,MCP1702T-3302E/CB,3.3V Linear Regulator,MCP1702T-3302E/CB,MCP1702T-3302E/CBCT-ND
J1,1,48037-0001,"USB Type A Plug Through Hole Right Angle Molex Male 1 Port Right Angle Through Hole Type A USB Connector, 150 V ac, 1.5A 48037",48037-0001,WM17117-ND
